soil_type	season	state	crop
Black	Kharif	Kerala	Sorghum
Alluvial	Zaid	Maharashtra	Vegetables
Red	Zaid	Punjab	Turmeric
Mountain	Kharif	Goa	Potato
Red	Kharif	Nagaland	Ragi
Laterite	Rabi	Uttarakhand	Coconut
Alluvial	Rabi	Tripura	Sugarcane
Clayey	Kharif	Assam	Vegetables
Alluvial	Kharif	Chhattisgarh	Rice
Laterite	Zaid	Kerala	Coconut
Sandy	Zaid	Sikkim	Watermelon
Black	Kharif	Himachal Pradesh	Soybean
Alluvial	Zaid	Jammu and Kashmir	Jute
Sandy	Zaid	Mizoram	Maize
Loamy	Zaid	Delhi	Sugarcane
Laterite	Zaid	Uttar Pradesh	Rubber
Arid	Zaid	Arunachal Pradesh	Castor
Red	Kharif	West Bengal	Chilli
Arid	Zaid	Uttarakhand	Bajra
Clayey	Kharif	Kerala	Vegetables
Loamy	Kharif	Uttarakhand	Vegetables
Sandy	Zaid	Haryana	Maize
Clayey	Kharif	Delhi	Vegetables
Black	Zaid	Assam	Soybean
Laterite	Zaid	Assam	Tea
Clayey	Zaid	Jharkhand	Vegetables
Mountain	Kharif	Himachal Pradesh	Apple
Laterite	Zaid	Maharashtra	Coconut
Laterite	Kharif	Uttar Pradesh	Tea
Black	Kharif	Assam	Soybean
Clayey	Zaid	Arunachal Pradesh	Mustard
Arid	Kharif	Haryana	Castor
Red	Rabi	Chhattisgarh	Chilli
Mountain	Rabi	Mizoram	Millet
Arid	Kharif	Uttar Pradesh	Bajra
Loamy	Kharif	Tamil Nadu	Rice
Alluvial	Zaid	Jharkhand	Rice
Red	Kharif	Himachal Pradesh	Chilli
Sandy	Rabi	Delhi	Muskmelon
Loamy	Rabi	Rajasthan	Barley
Loamy	Zaid	Jharkhand	Sugarcane
Sandy	Rabi	Madhya Pradesh	Muskmelon
Laterite	Zaid	Himachal Pradesh	Coffee
Clayey	Rabi	Kerala	Mustard
Red	Rabi	Odisha	Ragi
Mountain	Kharif	Rajasthan	Barley
Loamy	Kharif	Manipur	Wheat
Arid	Kharif	Uttar Pradesh	Cumin
Arid	Rabi	Maharashtra	Cumin
Red	Zaid	Tripura	Ragi
Clayey	Kharif	Jharkhand	Vegetables
Loamy	Rabi	Jharkhand	Barley
Laterite	Zaid	Tamil Nadu	Coffee
Clayey	Zaid	Tripura	Pulses
Sandy	Zaid	West Bengal	Wheat
Alluvial	Kharif	Telangana	Vegetables
Arid	Kharif	Goa	Bajra
Laterite	Zaid	West Bengal	Rubber
Loamy	Rabi	Delhi	Rice
Red	Kharif	Mizoram	Chilli
Black	Kharif	Uttarakhand	Groundnut
Clayey	Zaid	Andhra Pradesh	Pea
Red	Zaid	Sikkim	Ragi
Mountain	Kharif	Nagaland	Potato
Mountain	Kharif	Haryana	Cherry
Clayey	Rabi	Telangana	Pulses
Alluvial	Zaid	Punjab	Rice
Mountain	Rabi	Uttarakhand	Tea
Red	Kharif	Manipur	Turmeric
Black	Rabi	Punjab	Sorghum
Clayey	Rabi	Jammu and Kashmir	Mustard
Laterite	Zaid	Madhya Pradesh	Cashew
Arid	Kharif	Maharashtra	Moong
Laterite	Zaid	Assam	Coffee
Clayey	Rabi	Jammu and Kashmir	Mustard
Black	Rabi	Tamil Nadu	Groundnut
Alluvial	Kharif	Nagaland	Wheat
Laterite	Rabi	Manipur	Arecanut
Alluvial	Zaid	Kerala	Wheat
Black	Kharif	Haryana	Cotton
Alluvial	Rabi	Arunachal Pradesh	Jute
Sandy	Rabi	Jharkhand	Muskmelon
Black	Zaid	Uttarakhand	Castor
Mountain	Rabi	Goa	Tea
Mountain	Rabi	Gujarat	Apple
Arid	Rabi	Delhi	Mustard
Black	Kharif	Assam	Sorghum
Red	Zaid	Gujarat	Ragi
Loamy	Zaid	Rajasthan	Barley
Laterite	Kharif	Chhattisgarh	Rubber
Loamy	Kharif	Chhattisgarh	Sugarcane
Clayey	Zaid	Goa	Mustard
Alluvial	Rabi	Karnataka	Vegetables
Clayey	Rabi	Goa	Mustard
Red	Zaid	Jammu and Kashmir	Turmeric
Clayey	Rabi	West Bengal	Mustard
Mountain	Zaid	Uttarakhand	Potato
Loamy	Rabi	Uttar Pradesh	Rice
Black	Rabi	Meghalaya	Cotton
Alluvial	Rabi	Punjab	Jute
Loamy	Zaid	Mizoram	Sugarcane
Red	Rabi	Manipur	Millet
Red	Rabi	Himachal Pradesh	Ragi
Alluvial	Rabi	Uttarakhand	Sugarcane
Red	Zaid	West Bengal	Lentil
Laterite	Kharif	Sikkim	Cashew
Arid	Kharif	Punjab	Moong
Alluvial	Kharif	Odisha	Wheat
Clayey	Zaid	Gujarat	Rice
Alluvial	Kharif	Tripura	Maize
Arid	Zaid	Bihar	Cumin
Mountain	Zaid	Odisha	Millet
Loamy	Zaid	Madhya Pradesh	Vegetables
Sandy	Rabi	Odisha	Chickpea
Arid	Zaid	Andhra Pradesh	Bajra
Laterite	Rabi	Karnataka	Arecanut
Sandy	Rabi	Nagaland	Maize
Laterite	Zaid	Haryana	Arecanut
Sandy	Zaid	Nagaland	Muskmelon
Mountain	Kharif	Telangana	Cherry
Mountain	Rabi	Jharkhand	Barley
Clayey	Zaid	Arunachal Pradesh	Vegetables
Black	Rabi	Assam	Castor
Alluvial	Rabi	Haryana	Wheat
Laterite	Zaid	Jharkhand	Tea
Mountain	Rabi	Jammu and Kashmir	Barley
Arid	Zaid	Karnataka	Castor
Arid	Kharif	Haryana	Mustard
Black	Kharif	Kerala	Gram
Red	Kharif	Uttar Pradesh	Ragi
Laterite	Rabi	Madhya Pradesh	Coffee
Loamy	Rabi	Tamil Nadu	Barley
Loamy	Rabi	Uttar Pradesh	Wheat
Red	Kharif	Sikkim	Ragi
Mountain	Rabi	Jammu and Kashmir	Potato
Mountain	Rabi	Telangana	Potato
Sandy	Rabi	Sikkim	Maize
Sandy	Kharif	Goa	Maize
Black	Zaid	Karnataka	Gram
Mountain	Kharif	Madhya Pradesh	Millet
Clayey	Kharif	Delhi	Pulses
Clayey	Kharif	Goa	Pea
Alluvial	Rabi	Mizoram	Vegetables
Red	Kharif	Delhi	Paddy
Arid	Rabi	Odisha	Mustard
Red	Zaid	Nagaland	Turmeric
Laterite	Rabi	Nagaland	Arecanut
Arid	Rabi	Himachal Pradesh	Cumin
Laterite	Zaid	Arunachal Pradesh	Coconut
Laterite	Zaid	Tamil Nadu	Tea
Clayey	Zaid	Goa	Rice
Sandy	Kharif	Maharashtra	Sunflower
Arid	Kharif	Assam	Moong
Loamy	Rabi	Karnataka	Wheat
Mountain	Kharif	Madhya Pradesh	Potato
Arid	Rabi	Assam	Cumin
Red	Rabi	Tamil Nadu	Ragi
Arid	Rabi	Jharkhand	Moong
Alluvial	Kharif	Uttar Pradesh	Jute
Laterite	Rabi	Gujarat	Coffee
Loamy	Zaid	Gujarat	Rice
Mountain	Zaid	Karnataka	Apple
Arid	Zaid	Arunachal Pradesh	Castor
Alluvial	Rabi	Rajasthan	Jute
Black	Rabi	Karnataka	Castor
Arid	Zaid	Sikkim	Mustard
Arid	Rabi	Odisha	Barley
Mountain	Rabi	Tripura	Potato
Loamy	Rabi	Haryana	Vegetables
Clayey	Kharif	Nagaland	Pulses
Black	Zaid	Jammu and Kashmir	Gram
Arid	Zaid	Bihar	Castor
Black	Rabi	Arunachal Pradesh	Soybean
Red	Kharif	Jammu and Kashmir	Millet
Sandy	Zaid	Mizoram	Sunflower
Laterite	Zaid	Kerala	Cashew
Red	Zaid	Madhya Pradesh	Chilli
Black	Rabi	Bihar	Soybean
Mountain	Zaid	West Bengal	Barley
Sandy	Zaid	Mizoram	Sunflower
Mountain	Kharif	Meghalaya	Tea
Clayey	Rabi	West Bengal	Rice
Arid	Kharif	Andhra Pradesh	Cumin
Mountain	Rabi	Himachal Pradesh	Apple
Laterite	Kharif	Arunachal Pradesh	Rubber
Loamy	Rabi	West Bengal	Wheat
Alluvial	Kharif	Uttarakhand	Sugarcane
Loamy	Rabi	Madhya Pradesh	Jute
Laterite	Kharif	Rajasthan	Cashew
Red	Zaid	Himachal Pradesh	Paddy
Mountain	Kharif	Manipur	Cherry
Arid	Zaid	Arunachal Pradesh	Moong
Mountain	Kharif	Bihar	Tea
Arid	Rabi	Himachal Pradesh	Cumin
Arid	Kharif	Karnataka	Mustard
Loamy	Rabi	Tamil Nadu	Vegetables
Red	Rabi	West Bengal	Turmeric
Clayey	Rabi	Nagaland	Pea
Clayey	Kharif	Odisha	Vegetables
Sandy	Kharif	Mizoram	Maize
Laterite	Zaid	Uttarakhand	Cashew
Black	Kharif	Karnataka	Sorghum
Clayey	Kharif	Sikkim	Vegetables
Arid	Rabi	Delhi	Bajra
Red	Rabi	Manipur	Millet
Black	Kharif	Tripura	Sorghum
Clayey	Rabi	Uttarakhand	Rice
Laterite	Rabi	West Bengal	Coconut
Mountain	Rabi	Chhattisgarh	Cherry
Arid	Rabi	Sikkim	Bajra
Clayey	Kharif	Mizoram	Pea
Loamy	Kharif	Uttarakhand	Barley
Loamy	Rabi	Bihar	Barley
Laterite	Rabi	Chhattisgarh	Rubber
Loamy	Kharif	Odisha	Vegetables
Red	Kharif	Chhattisgarh	Chilli
Arid	Zaid	Rajasthan	Bajra
Mountain	Rabi	Kerala	Cherry
Loamy	Kharif	Karnataka	Vegetables
Laterite	Zaid	Gujarat	Cashew
Arid	Zaid	Maharashtra	Moong
Laterite	Rabi	Meghalaya	Coconut
Alluvial	Rabi	Uttarakhand	Rice
Red	Rabi	Telangana	Millet
Black	Zaid	Arunachal Pradesh	Gram
Mountain	Zaid	Haryana	Barley
Laterite	Rabi	Madhya Pradesh	Coffee
Black	Rabi	Delhi	Groundnut
Red	Zaid	Tamil Nadu	Lentil
Alluvial	Rabi	Tamil Nadu	Maize
Loamy	Kharif	Jammu and Kashmir	Barley
Black	Kharif	Uttar Pradesh	Gram
Red	Zaid	Maharashtra	Chilli
Laterite	Rabi	Chhattisgarh	Arecanut
Alluvial	Zaid	Tamil Nadu	Sugarcane
Laterite	Kharif	Rajasthan	Arecanut
Black	Kharif	West Bengal	Gram
Sandy	Zaid	Manipur	Sunflower
Black	Kharif	Himachal Pradesh	Sorghum
Sandy	Rabi	Tamil Nadu	Sunflower
Clayey	Zaid	Tamil Nadu	Pulses
Mountain	Zaid	Himachal Pradesh	Cherry
Black	Kharif	Kerala	Castor
Laterite	Kharif	Chhattisgarh	Coffee
Arid	Kharif	Delhi	Moong
Alluvial	Zaid	Andhra Pradesh	Maize
Mountain	Rabi	Uttarakhand	Barley
Sandy	Kharif	Uttar Pradesh	Watermelon
Clayey	Kharif	Nagaland	Vegetables
Alluvial	Zaid	Mizoram	Jute
Loamy	Rabi	Jharkhand	Sugarcane
Loamy	Zaid	Tamil Nadu	Rice
Loamy	Rabi	Bihar	Sugarcane
Red	Zaid	Gujarat	Millet
Clayey	Kharif	Nagaland	Mustard
Mountain	Zaid	West Bengal	Barley
Red	Zaid	Kerala	Lentil
Arid	Rabi	Madhya Pradesh	Castor
Arid	Rabi	Assam	Castor
Laterite	Zaid	Telangana	Coconut
Sandy	Zaid	Haryana	Watermelon
Black	Kharif	Tamil Nadu	Groundnut
Arid	Zaid	Tripura	Bajra
Red	Zaid	Punjab	Paddy
Red	Rabi	West Bengal	Ragi
Arid	Kharif	Goa	Cumin
Sandy	Kharif	Delhi	Wheat
Sandy	Kharif	Goa	Watermelon
Laterite	Zaid	Tripura	Coconut
Laterite	Rabi	Arunachal Pradesh	Coconut
Laterite	Kharif	Rajasthan	Tea
Clayey	Kharif	West Bengal	Pea
Black	Zaid	Himachal Pradesh	Cotton
Black	Zaid	Jammu and Kashmir	Gram
Red	Rabi	Delhi	Ragi
Laterite	Kharif	Nagaland	Tea
Loamy	Kharif	Punjab	Barley
Black	Rabi	Manipur	Soybean
Alluvial	Zaid	Telangana	Rice
Sandy	Rabi	Telangana	Maize
Black	Rabi	Maharashtra	Gram
Red	Rabi	Rajasthan	Paddy
Alluvial	Zaid	Karnataka	Vegetables
Laterite	Zaid	Tripura	Cashew
Arid	Kharif	Jharkhand	Mustard
Sandy	Zaid	Jharkhand	Sunflower
Loamy	Zaid	Rajasthan	Sugarcane
Mountain	Zaid	Uttarakhand	Tea
Arid	Rabi	Madhya Pradesh	Bajra
Arid	Rabi	Uttarakhand	Barley
Alluvial	Zaid	Andhra Pradesh	Vegetables
Loamy	Kharif	Sikkim	Barley
Clayey	Zaid	Chhattisgarh	Pea
Clayey	Rabi	Andhra Pradesh	Vegetables
Red	Rabi	Haryana	Turmeric
Mountain	Kharif	Himachal Pradesh	Cherry
Red	Rabi	Kerala	Lentil
Red	Kharif	Tripura	Chilli
Black	Zaid	Madhya Pradesh	Sorghum
Clayey	Rabi	Tamil Nadu	Pulses
Laterite	Zaid	Haryana	Tea
Arid	Kharif	Chhattisgarh	Barley
Laterite	Rabi	Meghalaya	Arecanut
Arid	Kharif	Uttar Pradesh	Barley
Mountain	Kharif	Madhya Pradesh	Tea
Sandy	Rabi	Maharashtra	Wheat
Mountain	Rabi	Bihar	Tea
Mountain	Rabi	Madhya Pradesh	Cherry
Laterite	Kharif	Rajasthan	Tea
Clayey	Rabi	Haryana	Mustard
Alluvial	Rabi	Himachal Pradesh	Jute
Sandy	Rabi	Himachal Pradesh	Watermelon
Laterite	Rabi	Kerala	Arecanut
Clayey	Rabi	Sikkim	Mustard
Mountain	Zaid	Bihar	Potato
Clayey	Kharif	Madhya Pradesh	Rice
Arid	Zaid	Gujarat	Moong
Mountain	Kharif	Andhra Pradesh	Apple
Laterite	Rabi	Madhya Pradesh	Coffee
Black	Kharif	Meghalaya	Cotton
Loamy	Rabi	Delhi	Barley
Clayey	Rabi	Mizoram	Pea
Laterite	Kharif	Jharkhand	Coconut
Arid	Zaid	Sikkim	Bajra
Alluvial	Rabi	Odisha	Rice
Arid	Zaid	Jharkhand	Cumin
Black	Kharif	Assam	Gram
Loamy	Rabi	Sikkim	Rice
Arid	Rabi	Mizoram	Barley
Sandy	Rabi	Uttarakhand	Sunflower
Red	Zaid	Uttar Pradesh	Chilli
Arid	Zaid	Telangana	Castor
Mountain	Kharif	West Bengal	Cherry
Arid	Zaid	Punjab	Barley
Red	Rabi	Jammu and Kashmir	Paddy
Sandy	Rabi	Madhya Pradesh	Watermelon
Laterite	Kharif	Haryana	Cashew
Mountain	Zaid	Manipur	Millet
Mountain	Rabi	Maharashtra	Tea
Black	Kharif	Himachal Pradesh	Soybean
Black	Kharif	Nagaland	Sorghum
Sandy	Zaid	Assam	Wheat
